outcome_cleaner,outcome_category,significant,parameter_clean,author,year,doi,country,study_design,number_of_patients,extracorporeal,renal_function,patient_characteristics1,betalactam_studied
ECMO parameters,Extracorporeal parameters,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
fluid balance,Physiological parameters,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
serum albumin,Biomarkers,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
sex,Patient characteristics,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
weight,Patient characteristics,no,NA,Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
creatinine clearance,Physiological parameters,yes,CL,Georges,2009,https://dx.doi.org/10.1128/AAC.00430-09,France,prospective randomised PK trial,72,no,unclear,pneumonia,ceftazidime
day after burn injury,Other,yes,CL,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
sepsis,Organ dysfunction/support,yes,V,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
abbreviated burn severity index,Disease severity score,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
age,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
APACHE,Disease severity score,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
CRRT,Organ dysfunction/support,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
dehydration,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
oedema,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
serum albumin,Biomarkers,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
serum creatinine,Biomarkers,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
sex,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
TBSA,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
weight,Patient characteristics,no,NA,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Gijsen,2022,https://dx.doi.org/10.2147/IDR.S343264,Belgium,prospective PK study,58,no,augmented,augmented renal clearance,meropenem
age,Patient characteristics,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
creatinine clearance,Physiological parameters,yes,CL,Hahn,2021,https://dx.doi.org/10.1128/Spectrum.00633-21,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,piperacillin
cystatin C,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
KIM-1,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
serum albumin,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
serum creatinine,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
serum urea,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
uromodulin,Biomarkers,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
weight,Patient characteristics,no,NA,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
CRRT,Organ dysfunction/support,yes,CL,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
age,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
alcohol use,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
ALT,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
AST,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
BP,Vital signs,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
BUN,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
creatinine clearance,Physiological parameters,yes,CL,Hanberg,2018,https://dx.doi.org/10.1128/AAC.02390-17,Denmark,prospective PK study,10,"ECMO, RRT",impaired,ECMO,meropenem
CRP,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
CRRT,Organ dysfunction/support,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
CRRT parameters,Extracorporeal parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
ECMO,Organ dysfunction/support,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
GFR,Physiological parameters,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
haemoglobin,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
height,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
platelets,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
procalcitonin,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
red cell count,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
serum bilirubin,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
serum creatinine,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
sex,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
smoking,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
temperature,Vital signs,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
weight,Patient characteristics,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
white cell count,Biomarkers,no,NA,Kang,2022,https://dx.doi.org/10.3390/jcm11226621,South Korea,prospective PK study,13,"ECMO, RRT",impaired,ECMO,meropenem
CRRT,Organ dysfunction/support,yes,CL,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
age,Patient characteristics,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
CRRT parameters,Extracorporeal parameters,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
height,Patient characteristics,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
serum creatinine,Biomarkers,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
sex,Patient characteristics,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
weight,Patient characteristics,no,NA,Kanji,2018,https://dx.doi.org/10.1177/1060028018773771,Canada,prospective PK study,34,RRT,impaired,CRRT,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Heffernan,2022,https://dx.doi.org/10.1128/aac.02189-21,Australia,retrospective PK study,36,no,normal,sepsis,ceftriaxone
creatinine clearance,Physiological parameters,yes,CL,Idoate Grijalba,2019,https://dx.doi.org/10.1007/s00228-019-02716-y,France,retrospective PK study,80,no,normal,general ICU,meropenem
cystatin C,Biomarkers,yes,CL,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
GFR,Physiological parameters,yes,CL,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
age,Patient characteristics,no,NA,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
serum creatinine,Biomarkers,no,NA,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
sex,Patient characteristics,no,NA,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
weight,Patient characteristics,no,NA,Kees,2016,https://dx.doi.org/10.1002/jcph.600,Germany,prospective PK study,32,no,normal,general ICU,meropenem
GFR,Physiological parameters,yes,CL,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO,Organ dysfunction/support,yes,V,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
age,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
BSA,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
comorbidity,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
cystatin C,Biomarkers,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
diagnosis,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
ECMO parameters,Extracorporeal parameters,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
height,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
serum albumin,Biomarkers,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
serum creatinine,Biomarkers,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
serum protein,Biomarkers,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
sex,Patient characteristics,no,NA,Kim,2022,https://dx.doi.org/10.1093/jac/dkac059,South Korea,prospective PK study,38,"ECMO, RRT",impaired,ECMO,piperacillin
creatinine clearance,Physiological parameters,yes,CL,Isla,2008,https://dx.doi.org/10.2165/00003088-200847030-00003,Spain,prospective PK study,20,RRT,impaired,CRRT,meropenem
age,Patient characteristics,no,NA,Klastrup,2020,https://dx.doi.org/10.1128/AAC.02556-19,Denmark,prospective PK study,78,no,normal,general ICU,piperacillin
serum creatinine,Biomarkers,no,NA,Klastrup,2020,https://dx.doi.org/10.1128/AAC.02556-19,Denmark,prospective PK study,78,no,normal,general ICU,piperacillin
sex,Patient characteristics,no,NA,Klastrup,2020,https://dx.doi.org/10.1128/AAC.02556-19,Denmark,prospective PK study,78,no,normal,general ICU,piperacillin
weight,Patient characteristics,no,NA,Klastrup,2020,https://dx.doi.org/10.1128/AAC.02556-19,Denmark,prospective PK study,78,no,normal,general ICU,piperacillin
weight,Patient characteristics,yes,V,Konig,2017,https://dx.doi.org/10.1093/jac/dkw592,Germany,prospective PK study,16,RRT,impaired,CRRT,ceftazidime
CRRT,Organ dysfunction/support,no,NA,Konig,2017,https://dx.doi.org/10.1093/jac/dkw592,Germany,prospective PK study,16,RRT,impaired,CRRT,ceftazidime
age,Patient characteristics,yes,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
ALT,Biomarkers,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
APACHE,Disease severity score,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
BMI,Patient characteristics,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
creatinine clearance,Physiological parameters,yes,CL,Jaruratanasirikul,2015,https://dx.doi.org/10.1128/AAC.04166-14,Thailand,prospective PK study,9,no,normal,sepsis,meropenem
CSF,Other,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
CSF,Other,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
CSF,Other,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
height,Patient characteristics,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
serum albumin,Biomarkers,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
sex,Patient characteristics,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
SOFA,Disease severity score,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
weight,Patient characteristics,no,NA,Kumta,2022,https://dx.doi.org/10.1128/aac.00142-22,International,prospective PK study,8,no,normal,CNS infection,meropenem
creatinine clearance,Physiological parameters,yes,"CL, K10",Jaruratanasirikul,2019,https://dx.doi.org/10.1007/s40261-019-00796-3,Thailand,prospective PK study,10,ECMO,unclear,ECMO,imipenem
BSA,Patient characteristics,no,NA,Layios,2022,https://dx.doi.org/10.1128/AAC.02052-21,Belgium,prospective PK study,32,no,normal,VAP,temocillin
weight,Patient characteristics,no,NA,Layios,2022,https://dx.doi.org/10.1128/AAC.02052-21,Belgium,prospective PK study,32,no,normal,VAP,temocillin
renal function,Physiological parameters,yes,CL,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,yes,V,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
age,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
APACHE,Disease severity score,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
BSA,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
comorbidity,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
CRRT,Organ dysfunction/support,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
diagnosis,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
height,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
serum albumin,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
serum creatinine,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
serum protein,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
sex,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
SOFA,Disease severity score,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
weight,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3389/fphar.2021.768912,South Korea,prospective PK study,30,"ECMO, RRT",impaired,ECMO,meropenem
renal function,Physiological parameters,yes,CL,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
age,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
BSA,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
comorbidity,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
cystatin C,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
diagnosis,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
ECMO parameters,Extracorporeal parameters,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
height,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
serum albumin,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
serum creatinine,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
serum protein,Biomarkers,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
sex,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
weight,Patient characteristics,no,NA,Lee,2021,https://dx.doi.org/10.3390/pharmaceutics13111861,South Korea,prospective PK study,26,"ECMO, RRT",impaired,ECMO,meropenem
serum albumin,Biomarkers,yes,Bmax,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
creatinine clearance,Physiological parameters,yes,CL,Jeon,2014,https://dx.doi.org/10.1128/AAC.02089-13,South Korea,prospective PK study,50,no,unclear,burns,piperacillin
mode of administration,Other,yes,V,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
age,Patient characteristics,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
APACHE,Disease severity score,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
BMI,Patient characteristics,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
fluid balance,Physiological parameters,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
SAPS,Disease severity score,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
serum bilirubin,Biomarkers,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
sex,Patient characteristics,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
weight,Patient characteristics,no,NA,Leegwater,2020,https://dx.doi.org/10.1093/jac/dkaa067,Netherlands,prospective PK study,55,no,normal,general ICU,ceftriaxone
diuresis,Physiological parameters,yes,CL,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
patient type,Patient characteristics,yes,CL,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
age,Patient characteristics,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
APACHE,Disease severity score,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
burns,Patient characteristics,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
sex,Patient characteristics,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
urine output,Physiological parameters,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
weight,Patient characteristics,no,NA,Li,2019,https://dx.doi.org/10.1016/j.ijantimicag.2018.10.006,Belgium,retrospective PK study,20,RRT,impaired,burns,imipenem
creatinine clearance,Physiological parameters,yes,CL,Jonckheere,2016,http://dx.doi.org/10.1093/jac/dkw171,Belgium,prospective PK study,20,RRT,impaired,general ICU,cefepime
CRRT parameters,Extracorporeal parameters,yes,CL,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
age,Patient characteristics,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
AKI,Organ dysfunction/support,no,NA,Li,2020,https://dx.doi.org/10.1016/j.clinthera.2020.06.010,China,prospective PK study,30,RRT,impaired,CRRT,imipenem
